,group,libsize,has_program,program_usage,is_doublet,group2
Cell89,7,1602.3615007709013,False,0.0,False,-1
Cell90,11,982.0084072963953,False,0.0,False,-1
Cell91,3,1860.2644796006805,True,0.6265004788081692,False,-1
Cell92,7,2808.9354575085904,False,0.0,False,-1
Cell93,10,17569.559547482553,False,0.0,False,-1
Cell94,13,4795.903500383598,False,0.0,False,-1
Cell95,2,3504.7666767937044,False,0.0,False,-1
Cell96,10,1565.6261294214141,False,0.0,False,-1
Cell97,10,6811.6851567770245,False,0.0,True,9
Cell98,7,1401.4039289865707,False,0.0,False,-1
Cell99,9,2937.7447664797933,False,0.0,False,-1
Cell100,6,2197.402629961832,False,0.0,True,11
Cell101,9,1655.9284228010156,False,0.0,False,-1
Cell102,13,5059.977772076994,False,0.0,False,-1
Cell103,9,6403.6582059539305,False,0.0,False,-1
Cell104,8,13889.304857319858,False,0.0,False,-1
Cell105,10,5408.082998297814,False,0.0,False,-1
Cell106,4,4267.339492932401,False,0.0,False,-1
Cell107,4,1771.946339252962,False,0.0,False,-1
Cell108,11,2646.321644648964,False,0.0,False,-1
Cell109,8,1108.6085993745337,False,0.0,False,-1
Cell110,9,1678.3587662663558,False,0.0,True,3
Cell111,7,1145.7953316641924,False,0.0,False,-1
Cell112,13,1233.7323954788576,False,0.0,False,-1
Cell113,3,2966.993567501686,False,0.0,False,-1
Cell114,12,2106.459151848044,False,0.0,False,-1
Cell115,5,3822.7647349221147,False,0.0,False,-1
Cell116,8,1796.0766761945358,False,0.0,False,-1
Cell117,8,1673.994323605893,False,0.0,False,-1
Cell118,10,1027.9502189769626,False,0.0,False,-1
Cell119,12,3050.087300317414,False,0.0,False,-1
Cell120,6,2772.499047661133,False,0.0,False,-1
Cell121,4,2781.123674903979,False,0.0,False,-1
Cell122,5,4827.284384351018,False,0.0,False,-1
Cell123,4,1568.847996733796,False,0.0,False,-1
Cell124,1,7047.342692958035,True,0.6503253808874927,False,-1
Cell125,1,648.4783353456523,False,0.0,False,-1
Cell126,4,1158.9612483438405,False,0.0,False,-1
Cell127,11,77.98794331235209,False,0.0,False,-1
Cell128,11,2884.634350829051,False,0.0,False,-1
Cell129,2,2058.815487530153,False,0.0,False,-1
Cell130,9,3775.4073213990714,False,0.0,False,-1
Cell131,9,7001.769986980637,False,0.0,False,-1
Cell132,9,2662.927340774897,False,0.0,False,-1
Cell133,13,2403.47973182205,False,0.0,False,-1
Cell134,9,2343.7531948450865,False,0.0,False,-1
Cell135,12,855.8148445488463,False,0.0,True,3
Cell136,11,828.8534383573004,False,0.0,False,-1
Cell137,1,1912.7185227493178,True,0.2988058049778454,False,-1
Cell138,7,1391.0937319700286,False,0.0,False,-1
Cell139,7,1657.84696408421,False,0.0,False,-1
Cell140,6,2753.6033160996994,False,0.0,False,-1
Cell141,6,4113.663138276927,False,0.0,False,-1
Cell142,9,747.8380398940694,False,0.0,False,-1
Cell143,11,561.1610389271747,False,0.0,False,-1
Cell144,11,3600.015988005162,False,0.0,False,-1
Cell145,7,611.1976717931976,False,0.0,False,-1
Cell146,11,2551.4336212152166,False,0.0,False,-1
Cell147,4,2968.836419211415,False,0.0,False,-1
Cell148,4,1832.500027063511,False,0.0,False,-1
Cell149,3,2074.8448056247807,True,0.42636015129234206,False,-1
Cell150,4,459.1103414786249,True,0.3431783240193564,False,-1
Cell151,6,2989.7527729790363,False,0.0,False,-1
Cell152,4,2142.3206604807615,False,0.0,False,-1
Cell153,10,2497.2165563000644,False,0.0,False,-1
Cell154,6,38087.395105926546,False,0.0,False,-1
Cell155,3,5279.612217019987,True,0.31404337262476406,True,5
Cell156,9,3120.9395312824163,False,0.0,False,-1
Cell157,10,997.3668651313295,False,0.0,False,-1
Cell158,12,1804.4133921751368,False,0.0,False,-1
Cell159,10,3302.5710960900255,False,0.0,False,-1
Cell160,2,1207.2524566166428,True,0.12942332002518186,False,-1
Cell161,12,1423.8954806868157,False,0.0,False,-1
Cell162,13,6186.804312817334,False,0.0,False,-1
Cell163,10,6150.055888235029,False,0.0,False,-1
Cell164,11,1919.4056310753856,False,0.0,False,-1
Cell165,3,3186.3882276920244,True,0.16252693300919724,False,-1
Cell166,12,2035.6218809795457,False,0.0,False,-1
Cell167,1,1748.292183995134,False,0.0,False,-1
Cell168,11,450.96120122057675,False,0.0,False,-1
Cell169,5,5489.5314976009995,False,0.0,False,-1
Cell170,11,1174.093101673815,False,0.0,False,-1
Cell171,3,932.5159394941343,False,0.0,False,-1
Cell172,5,2946.930709805763,False,0.0,False,-1
Cell173,8,2333.1195647060317,False,0.0,False,-1
Cell174,2,6701.6174797385265,False,0.0,False,-1
Cell175,11,2570.4685905791507,False,0.0,False,-1
Cell176,3,1005.5178248535502,True,0.3907730965411972,False,-1
Cell177,8,1851.9563459890835,False,0.0,False,-1
Cell178,7,5025.139485196902,False,0.0,False,-1
Cell179,2,1708.1705789088467,False,0.0,False,-1
Cell180,9,2569.2095715152454,False,0.0,False,-1
Cell181,9,2520.032300219226,False,0.0,False,-1
Cell182,12,1360.8176930121751,False,0.0,False,-1
Cell183,9,3157.0273563584283,False,0.0,False,-1
Cell184,9,8306.906618186858,False,0.0,False,-1
Cell185,10,2189.0968832130698,False,0.0,False,-1
Cell186,9,3673.015045671904,False,0.0,False,-1
Cell187,6,794.1355882694977,False,0.0,True,5
Cell188,9,2919.704974645532,False,0.0,False,-1
Cell189,11,4453.130901562057,False,0.0,False,-1
Cell190,10,1671.8305455440377,False,0.0,False,-1
Cell191,9,838.4182515314063,False,0.0,False,-1
Cell192,5,5727.351474583456,False,0.0,False,-1
Cell193,5,3312.1483809542274,False,0.0,False,-1
Cell194,5,1828.3147954121523,False,0.0,False,-1
Cell195,10,1819.1052469054819,False,0.0,False,-1
Cell196,10,4300.211782802719,False,0.0,False,-1
Cell197,12,990.5626165089404,False,0.0,False,-1
Cell198,11,2635.843093333499,False,0.0,False,-1
Cell199,8,3304.72318172745,False,0.0,False,-1
Cell200,1,1336.3056819204753,True,0.6116725745279645,False,-1
Cell201,12,950.9975488223911,False,0.0,False,-1
Cell202,9,2066.3712702991193,False,0.0,False,-1
Cell203,2,1313.8418089714276,False,0.0,False,-1
Cell204,1,4481.223931740529,False,0.0,False,-1
Cell205,2,2182.0688756551904,False,0.0,False,-1
Cell206,13,1485.0042330880829,False,0.0,False,-1
Cell207,3,4807.951987140512,True,0.4096682026640863,False,-1
Cell208,2,8645.907728984175,False,0.0,False,-1
Cell209,8,1612.5196601557109,False,0.0,False,-1
Cell210,11,3606.439235556843,False,0.0,False,-1
Cell211,7,2567.909607079361,False,0.0,False,-1
Cell212,1,2105.870534392548,False,0.0,False,-1
Cell213,10,640.2179643428329,False,0.0,False,-1
Cell214,12,1068.2219331463527,False,0.0,False,-1
Cell215,1,682.5961472224521,True,0.6069796020255589,False,-1
Cell216,3,1138.2621527449198,True,0.5200900960960717,False,-1
Cell217,5,476.21907393756356,False,0.0,False,-1
Cell218,8,792.8899283343753,False,0.0,False,-1
Cell219,4,4058.1072793714798,True,0.3506656963402125,False,-1
Cell220,6,1044.631321867042,False,0.0,False,-1
Cell221,12,483.48488927064096,False,0.0,False,-1
Cell222,10,988.1234183808851,False,0.0,False,-1
Cell223,10,2559.885091797746,False,0.0,False,-1
Cell224,11,1687.6839541837066,False,0.0,False,-1
Cell225,1,6210.598827536589,False,0.0,False,-1
Cell226,5,2009.6782655402749,False,0.0,False,-1
Cell227,8,5408.869495666068,False,0.0,False,-1
Cell228,2,7836.67773728858,False,0.0,False,-1
Cell229,2,1924.3805341330726,True,0.6819746061057188,False,-1
Cell230,12,1274.40161352971,False,0.0,False,-1
Cell231,11,3675.948602675483,False,0.0,False,-1
Cell232,3,1460.5472345645383,False,0.0,False,-1
Cell233,9,4597.78214179483,False,0.0,False,-1
Cell234,6,1047.759908339565,False,0.0,False,-1
Cell235,3,1450.8106617252959,False,0.0,False,-1
Cell236,1,783.3348636198782,False,0.0,False,-1
Cell237,13,786.7561351933588,False,0.0,False,-1
Cell238,12,2160.79596640139,False,0.0,False,-1
Cell239,2,2100.2530585391214,False,0.0,False,-1
Cell240,11,1922.9283700016167,False,0.0,False,-1
Cell241,9,1166.8193085463852,False,0.0,False,-1
Cell242,12,1253.0328094548727,False,0.0,False,-1
Cell243,2,3929.642753281299,False,0.0,False,-1
Cell244,11,3164.219113736122,False,0.0,False,-1
Cell245,4,1958.1382619147578,False,0.0,False,-1
Cell246,3,1903.8232727615919,True,0.3053958567819519,False,-1
Cell247,7,6066.039915741115,False,0.0,True,3
Cell248,3,2951.154434297047,True,0.14623993964549317,False,-1
Cell249,3,4467.297612660171,True,0.48690680105761797,False,-1
Cell250,4,4921.536281753677,False,0.0,False,-1
Cell251,3,7178.942083874303,False,0.0,False,-1
Cell252,4,2956.0687940009243,False,0.0,False,-1
Cell253,1,495.9324834131432,False,0.0,False,-1
Cell254,6,1467.3371055509929,False,0.0,False,-1
Cell255,13,1513.034781455422,False,0.0,True,13
Cell256,7,1075.369197943124,False,0.0,False,-1
Cell257,7,741.9104035724613,False,0.0,True,1
Cell258,1,3375.988960992496,True,0.5486359723099623,False,-1
Cell259,11,2315.7556127694825,False,0.0,False,-1
Cell260,11,3154.1459863874725,False,0.0,False,-1
Cell261,10,3706.988508870075,False,0.0,False,-1
Cell262,9,1399.1756859070672,False,0.0,False,-1
Cell263,7,1421.2622503407315,False,0.0,False,-1
Cell264,1,946.3912912074754,False,0.0,False,-1
Cell265,12,2667.8951099796236,False,0.0,False,-1
Cell266,7,4602.339830148026,False,0.0,False,-1
Cell267,12,2319.926248326864,False,0.0,False,-1
Cell268,4,2743.8321680951576,False,0.0,False,-1
Cell269,9,1005.156893473611,False,0.0,False,-1
Cell270,10,2902.0516989526895,False,0.0,False,-1
Cell271,11,3895.1477682284417,False,0.0,False,-1
Cell272,11,2658.944940767897,False,0.0,False,-1
Cell273,1,745.1103203947338,False,0.0,False,-1
Cell274,4,1262.51021202081,False,0.0,False,-1
Cell275,4,1055.6150719211073,False,0.0,False,-1
Cell276,1,1606.6962801529444,False,0.0,False,-1
Cell277,1,2875.930423665412,False,0.0,False,-1
Cell278,3,2330.244514577133,False,0.0,False,-1
Cell279,13,942.9538438382102,False,0.0,True,8
Cell280,1,9309.148556970382,False,0.0,False,-1
Cell281,12,3951.347169126783,False,0.0,False,-1
Cell282,7,1257.6003766220879,False,0.0,False,-1
Cell283,8,3022.579270343368,False,0.0,False,-1
Cell284,4,574.9723798138979,False,0.0,False,-1
Cell285,5,2928.181465038406,False,0.0,False,-1
Cell286,12,1095.3982360826585,False,0.0,False,-1
Cell287,8,836.4742537951308,False,0.0,False,-1
Cell288,3,2845.528193373693,False,0.0,False,-1
Cell289,1,1736.1495141249507,False,0.0,True,3
Cell290,10,2787.644258533353,False,0.0,False,-1
Cell291,6,1272.368283223004,False,0.0,False,-1
Cell292,13,3734.754568982171,False,0.0,False,-1
Cell293,9,817.7399993094363,False,0.0,False,-1
Cell294,4,6361.996016482695,False,0.0,False,-1
Cell295,10,652.3282690230747,False,0.0,False,-1
Cell296,5,6106.883269611849,False,0.0,False,-1
Cell297,6,1733.6896674127645,False,0.0,False,-1
Cell298,12,234.3740861488324,False,0.0,False,-1
Cell299,3,942.3599925307415,True,0.6951187260029256,False,-1
Cell300,8,4601.216272798125,False,0.0,False,-1
Cell301,5,4688.187358751181,False,0.0,False,-1
Cell302,7,2526.1921177068934,False,0.0,False,-1
Cell303,11,2603.212442455934,False,0.0,False,-1
Cell304,4,1381.0280791655493,False,0.0,False,-1
Cell305,9,453.28537455714536,False,0.0,False,-1
Cell306,9,1788.9301655814018,False,0.0,False,-1
Cell307,9,6655.172322644881,False,0.0,False,-1
Cell308,7,2430.953338113953,False,0.0,False,-1
Cell309,12,2077.097102259179,False,0.0,False,-1
Cell310,5,4498.590280014114,False,0.0,False,-1
Cell311,10,624.27864628492,False,0.0,False,-1
Cell312,3,4383.6999241420035,True,0.15553457224457176,False,-1
Cell313,13,522.432839036544,False,0.0,True,2
Cell314,7,2805.6020012188856,False,0.0,False,-1
Cell315,7,2853.2230806894486,False,0.0,False,-1
Cell316,1,3178.5349280479213,True,0.6921632432433348,False,-1
Cell317,5,4790.273871934292,False,0.0,False,-1
Cell318,12,2728.0044173597053,False,0.0,False,-1
Cell319,6,2195.448927645786,False,0.0,False,-1
Cell320,5,484.08082554622865,False,0.0,True,8
Cell321,3,2279.9175894013106,True,0.4260399560346576,False,-1
Cell322,12,1834.5116172524893,False,0.0,False,-1
Cell323,1,461.1347096416822,True,0.2232634679500345,False,-1
Cell324,2,1993.3770688828513,False,0.0,False,-1
Cell325,3,1106.2157910732963,True,0.6922339704996222,False,-1
Cell326,9,6241.606701936773,False,0.0,False,-1
Cell327,6,5800.962224402174,False,0.0,False,-1
Cell328,7,8439.065732847284,False,0.0,False,-1
Cell329,7,3108.437159804004,False,0.0,False,-1
Cell330,3,791.6241065861774,False,0.0,False,-1
Cell331,7,885.0061948040977,False,0.0,False,-1
Cell332,4,1580.2728472799033,False,0.0,False,-1
Cell333,9,1053.102323006525,False,0.0,False,-1
Cell334,1,1875.4741961798882,False,0.0,False,-1
Cell335,13,7284.271156463023,False,0.0,True,8
Cell336,8,660.0553970074949,False,0.0,False,-1
Cell337,1,2491.270107463115,False,0.0,False,-1
Cell338,12,1472.323959403491,False,0.0,False,-1
Cell339,6,5696.98527515177,False,0.0,False,-1
Cell340,8,1965.2795148510136,False,0.0,False,-1
Cell341,13,2131.9141929564103,False,0.0,False,-1
Cell342,3,551.7507982112792,False,0.0,False,-1
Cell343,12,1386.1843769480643,False,0.0,True,12
Cell344,11,652.2892585097954,False,0.0,False,-1
Cell345,1,818.6609365354564,False,0.0,False,-1
Cell346,9,1772.1939289505904,False,0.0,False,-1
Cell347,8,2489.9804999560847,False,0.0,False,-1
Cell348,12,718.564423343522,False,0.0,False,-1
Cell349,11,951.9912834557049,False,0.0,False,-1
Cell350,13,2179.935912207037,False,0.0,False,-1
Cell351,10,3074.0769550935383,False,0.0,False,-1
Cell352,6,1178.4627920458925,False,0.0,True,1
Cell353,10,2697.8090457787207,False,0.0,False,-1
Cell354,11,705.9508484338752,False,0.0,False,-1
Cell355,5,2217.789997284999,False,0.0,False,-1
Cell356,12,583.8105267689031,False,0.0,False,-1
Cell357,5,68007.26015774765,False,0.0,False,-1
Cell358,4,1144.2361950718443,False,0.0,False,-1
Cell359,6,2929.7784166539523,False,0.0,False,-1
Cell360,11,434.981762361015,False,0.0,False,-1
Cell361,11,2152.783902916454,False,0.0,False,-1
Cell362,8,1340.698679416328,False,0.0,False,-1
Cell363,12,13627.796455968255,False,0.0,False,-1
Cell364,10,3433.626512226351,False,0.0,False,-1
Cell365,9,9613.96401644253,False,0.0,False,-1
Cell366,7,3976.667921740735,False,0.0,False,-1
Cell367,13,925.7614474703412,False,0.0,False,-1
Cell368,6,1216.9969641658354,False,0.0,False,-1
Cell369,2,2268.9855251576864,False,0.0,False,-1
Cell370,12,1994.247171735525,False,0.0,True,13
Cell371,6,1947.0663302574408,False,0.0,False,-1
Cell372,7,5224.078160412754,False,0.0,False,-1
Cell373,10,817.2549207243388,False,0.0,False,-1
Cell374,11,447.2024404335876,False,0.0,False,-1
Cell375,12,1873.0594932005724,False,0.0,True,10
Cell376,6,474.9506534560284,False,0.0,False,-1
Cell377,12,1042.7112200402146,False,0.0,False,-1
Cell378,1,2071.5978911004277,False,0.0,False,-1
Cell379,9,1438.3597552380943,False,0.0,False,-1
Cell380,6,1176.6568229875113,False,0.0,False,-1
Cell381,7,2210.5548873033035,False,0.0,False,-1
Cell382,13,1799.1663569645075,False,0.0,False,-1
Cell383,8,1127.5790681725923,False,0.0,False,-1
Cell384,9,2409.6471039841617,False,0.0,False,-1
Cell385,6,2628.5316200479024,False,0.0,False,-1
Cell386,4,1907.1091025560447,False,0.0,False,-1
Cell387,5,2616.381169753844,False,0.0,False,-1
Cell388,8,1669.1497241762345,False,0.0,False,-1
Cell389,6,1560.0701411526932,False,0.0,False,-1
Cell390,2,2304.1948804110048,False,0.0,False,-1
Cell391,5,3968.6606873936803,False,0.0,False,-1
Cell392,12,1874.9668290107084,False,0.0,False,-1
Cell393,12,1753.2190886494532,False,0.0,False,-1
Cell394,8,2905.720238443548,False,0.0,False,-1
Cell395,13,8365.103966207742,False,0.0,False,-1
Cell396,2,2211.900891118589,False,0.0,True,3
Cell397,3,2720.2558031438557,False,0.0,False,-1
Cell398,13,2177.888000950017,False,0.0,False,-1
Cell399,2,2072.5026680688215,False,0.0,False,-1
Cell400,2,4751.9233330755915,False,0.0,False,-1
Cell401,10,1818.265704080496,False,0.0,False,-1
Cell402,4,2897.960403641999,True,0.18548165844305559,False,-1
Cell403,10,808.9291119555395,False,0.0,False,-1
Cell404,12,1600.5630416334186,False,0.0,False,-1
Cell405,10,3673.1831527857535,False,0.0,False,-1
Cell406,11,4633.891045795026,False,0.0,False,-1
Cell407,9,10821.465855109647,False,0.0,False,-1
Cell408,12,996.3587676732006,False,0.0,False,-1
Cell409,12,687.901802051484,False,0.0,False,-1
Cell410,3,1326.1464151637322,False,0.0,False,-1
Cell411,13,3195.2288684851424,False,0.0,False,-1
Cell412,12,745.118129045704,False,0.0,False,-1
Cell413,3,1327.5495405981164,False,0.0,False,-1
Cell414,9,4731.0792045385,False,0.0,True,9
Cell415,6,2312.0350640098122,False,0.0,False,-1
Cell416,4,4847.619078106104,False,0.0,False,-1
Cell417,11,8364.159368078479,False,0.0,False,-1
Cell418,8,786.4739372590819,False,0.0,False,-1
Cell419,2,1009.6607898858085,True,0.31758132656075905,False,-1
Cell420,6,3005.970958728243,False,0.0,False,-1
Cell421,1,1088.4282148342431,False,0.0,False,-1
Cell422,5,4286.779882980525,False,0.0,True,7
Cell423,2,3849.3093271716184,True,0.6893220276080173,False,-1
Cell424,2,4171.468333990044,False,0.0,False,-1
Cell425,3,411.9663374336423,False,0.0,False,-1
Cell426,2,1441.604054435214,False,0.0,False,-1
Cell427,4,1874.405834171239,False,0.0,False,-1
Cell428,2,1466.2109125484892,True,0.2072796276106113,False,-1
Cell429,10,743.9520226210886,False,0.0,False,-1
Cell430,11,4856.91441169429,False,0.0,False,-1
Cell431,4,1339.9864194810189,False,0.0,False,-1
Cell432,5,1973.0850676287494,False,0.0,False,-1
Cell433,6,2494.318299938506,False,0.0,False,-1
Cell434,11,5431.389729670706,False,0.0,False,-1
Cell435,5,3179.0869110921158,False,0.0,False,-1
Cell436,11,3138.9856710627078,False,0.0,False,-1
Cell437,10,3836.969523942123,False,0.0,False,-1
Cell438,9,783.7853333886732,False,0.0,False,-1
Cell439,13,467.0933421073272,False,0.0,False,-1
Cell440,8,1621.3286153401546,False,0.0,False,-1
Cell441,2,3005.1905651694924,True,0.11548048828126212,False,-1
Cell442,3,2997.291760506211,False,0.0,False,-1
Cell443,7,4511.709843503243,False,0.0,False,-1
Cell444,10,1592.2197215504511,False,0.0,False,-1
Cell445,5,925.9047456151466,False,0.0,False,-1
Cell446,13,4360.111538582073,False,0.0,False,-1
Cell447,13,887.7522106138606,False,0.0,False,-1
Cell448,1,572.4270842630608,False,0.0,False,-1
Cell449,7,2458.50320699265,False,0.0,False,-1
Cell450,13,2993.942151609961,False,0.0,True,13
Cell451,8,1295.7811071767992,False,0.0,False,-1
Cell452,7,2043.1719272411249,False,0.0,True,11
Cell453,10,1031.7792294042574,False,0.0,False,-1
Cell454,11,3465.793255411667,False,0.0,False,-1
Cell455,12,2598.3745399327986,False,0.0,False,-1
Cell456,9,2075.099567923358,False,0.0,False,-1
Cell457,8,4315.633442110407,False,0.0,False,-1
Cell458,5,735.9934153902256,False,0.0,False,-1
Cell459,1,2847.865263804457,False,0.0,False,-1
Cell460,7,4127.343090625835,False,0.0,False,-1
Cell461,9,1291.7149608376485,False,0.0,False,-1
Cell462,3,1693.6624030655255,False,0.0,False,-1
Cell463,1,6430.60012154824,False,0.0,False,-1
Cell464,4,1641.0273157713752,False,0.0,False,-1
Cell465,8,979.9206084913785,False,0.0,False,-1
Cell466,9,3912.46408873537,False,0.0,False,-1
Cell467,9,2384.1374508845147,False,0.0,False,-1
Cell468,1,4254.494389194356,False,0.0,False,-1
Cell469,12,1215.1666649324115,False,0.0,False,-1
Cell470,9,1066.6244352440601,False,0.0,False,-1
Cell471,4,1858.9748231281571,True,0.29685635537447824,False,-1
Cell472,6,2006.7771714807102,False,0.0,False,-1
Cell473,12,9360.041821060026,False,0.0,True,12
Cell474,11,1538.8384906793574,False,0.0,False,-1
Cell475,6,2824.9038770784177,False,0.0,False,-1
Cell476,9,3987.2378000058056,False,0.0,False,-1
Cell477,9,448.3376693200526,False,0.0,False,-1
Cell478,5,2638.8981166322146,False,0.0,False,-1
Cell479,3,470.1740121651806,True,0.5161736340311034,False,-1
Cell480,8,1101.1463758600673,False,0.0,False,-1
Cell481,6,1448.2985588853023,False,0.0,False,-1
Cell482,10,2128.7503949990137,False,0.0,False,-1
Cell483,5,963.9444453804741,False,0.0,False,-1
Cell484,8,2602.066631815883,False,0.0,False,-1
Cell485,5,2737.4527329045964,False,0.0,False,-1
Cell486,5,3602.7590507182204,False,0.0,False,-1
Cell487,6,986.2501279078084,False,0.0,False,-1
Cell488,1,6053.33379916778,False,0.0,False,-1
Cell489,2,3171.038527580946,True,0.35989112806958534,False,-1
Cell490,6,1136.90988271702,False,0.0,True,2
Cell491,11,3622.2130643926694,False,0.0,False,-1
Cell492,3,6598.502057347763,False,0.0,False,-1
Cell493,2,1068.5050467609647,False,0.0,False,-1
Cell494,3,3903.60718496108,False,0.0,False,-1
Cell495,9,1060.9325818305058,False,0.0,False,-1
Cell496,9,1271.4074117725863,False,0.0,True,6
Cell497,4,7976.116503635849,True,0.5713967697463955,False,-1
Cell498,5,3044.158171609518,False,0.0,False,-1
Cell499,9,10589.153215860344,False,0.0,False,-1
Cell500,2,696.9889635456185,False,0.0,False,-1
Cell501,2,636.5074136669434,True,0.5664852824285299,False,-1
Cell502,10,1212.9217724454631,False,0.0,False,-1
Cell503,13,2312.641733171724,False,0.0,False,-1
Cell504,8,4684.89663090729,False,0.0,False,-1
Cell505,8,1088.9182498063628,False,0.0,False,-1
Cell506,8,5822.297547564703,False,0.0,False,-1
Cell507,8,3814.977060156351,False,0.0,False,-1
Cell508,9,2726.088081025582,False,0.0,False,-1
Cell509,7,6771.3023234663315,False,0.0,False,-1
Cell510,10,4321.899185498755,False,0.0,False,-1
Cell511,8,680.6323510546904,False,0.0,False,-1
Cell512,4,3367.16311211645,False,0.0,False,-1
Cell513,1,1441.2443292653786,True,0.20382437335658324,False,-1
Cell514,4,4216.295596904408,False,0.0,False,-1
Cell515,2,984.8519775348069,False,0.0,False,-1
Cell516,7,4547.415102616833,False,0.0,False,-1
Cell517,3,2903.7791115637515,True,0.4205722413329245,True,5
Cell518,6,4868.375489176609,False,0.0,False,-1
Cell519,3,8751.47570488833,False,0.0,False,-1
Cell520,2,3737.49105224509,False,0.0,True,13
